offset_decimal,offset_hex,byte_state,profile_fields,ct_labels,distinct_byte_values,zero_count,ff_count,minimum,maximum,top_values
210,0x0D2,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
211,0x0D3,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
212,0x0D4,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
213,0x0D5,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
214,0x0D6,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
215,0x0D7,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
216,0x0D8,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
217,0x0D9,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
218,0x0DA,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
219,0x0DB,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
220,0x0DC,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
221,0x0DD,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
222,0x0DE,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
223,0x0DF,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
224,0x0E0,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
225,0x0E1,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
226,0x0E2,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
227,0x0E3,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
228,0x0E4,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
229,0x0E5,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
230,0x0E6,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
231,0x0E7,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
232,0x0E8,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
233,0x0E9,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
234,0x0EA,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
235,0x0EB,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
236,0x0EC,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
237,0x0ED,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
238,0x0EE,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
239,0x0EF,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
240,0x0F0,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
241,0x0F1,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
242,0x0F2,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
243,0x0F3,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
244,0x0F4,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
245,0x0F5,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
246,0x0F6,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
247,0x0F7,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
248,0x0F8,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
249,0x0F9,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
250,0x0FA,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
251,0x0FB,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
252,0x0FC,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
253,0x0FD,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
254,0x0FE,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
255,0x0FF,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
256,0x100,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
257,0x101,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
258,0x102,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
259,0x103,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
260,0x104,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
261,0x105,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
262,0x106,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
263,0x107,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
264,0x108,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
265,0x109,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
266,0x10A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
267,0x10B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
268,0x10C,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
269,0x10D,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
270,0x10E,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
271,0x10F,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
272,0x110,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
273,0x111,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
274,0x112,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
275,0x113,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
276,0x114,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
277,0x115,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
278,0x116,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
279,0x117,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
280,0x118,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
281,0x119,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
282,0x11A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
283,0x11B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
284,0x11C,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
285,0x11D,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
286,0x11E,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
287,0x11F,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
288,0x120,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
289,0x121,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
290,0x122,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
291,0x123,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
292,0x124,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
293,0x125,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
294,0x126,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
295,0x127,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
296,0x128,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
297,0x129,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
298,0x12A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
299,0x12B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
300,0x12C,LABELLED_UNKNOWN,unknown_12c,Team (?),1,0,25005,255,255,"[[255,25005]]"
301,0x12D,LABELLED_UNKNOWN,unknown_12c,Team (?),1,0,25005,255,255,"[[255,25005]]"
302,0x12E,LABELLED_UNKNOWN,unknown_12e,League (?),1,0,25005,255,255,"[[255,25005]]"
303,0x12F,LABELLED_UNKNOWN,unknown_12e,League (?),1,0,25005,255,255,"[[255,25005]]"
304,0x130,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
305,0x131,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
306,0x132,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
307,0x133,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
308,0x134,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
309,0x135,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
310,0x136,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
311,0x137,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
312,0x138,PROFILE_CANDIDATE,contractEndYear,Year,7,0,23478,234,255,"[[255,23478],[234,777],[235,320],[236,229],[237,132]]"
313,0x139,PROFILE_CANDIDATE,contractEndYear,Year,2,0,23478,7,255,"[[255,23478],[7,1527]]"
314,0x13A,PROFILE_CANDIDATE,contractEndMonth,Month,13,23478,0,0,12,"[[0,23478],[12,861],[11,328],[6,222],[10,26]]"
315,0x13B,PROFILE_CANDIDATE,contractEndDay,Day,21,23478,0,0,31,"[[0,23478],[31,905],[30,576],[10,9],[1,6]]"
316,0x13C,UNLABELLED,,,2,25002,0,0,6,"[[0,25002],[6,3]]"
317,0x13D,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
318,0x13E,PROFILE_CANDIDATE,affection,Affection,1,25005,0,0,0,"[[0,25005]]"
319,0x13F,PROFILE_CANDIDATE,affectionFlags,Is Listed Player;Max Affection (?),2,14497,0,0,128,"[[0,14497],[128,10508]]"
320,0x140,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
321,0x141,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
322,0x142,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
323,0x143,PROFILE_CANDIDATE,teamRoleLevel,Level,1,25005,0,0,0,"[[0,25005]]"
324,0x144,PROFILE_CANDIDATE,nationality,Nationality,174,2,0,0,245,"[[146,4831],[144,1475],[236,1174],[208,999],[210,883]]"
325,0x145,PROFILE_CANDIDATE,nationality,Nationality,2,24723,0,0,1,"[[0,24723],[1,282]]"
326,0x146,PROFILE_CANDIDATE,staminaBar,Blinking Form Arrow;Stamina Bar,1,0,0,100,100,"[[100,25005]]"
327,0x147,PROFILE_CANDIDATE,currentFormArrow,Form Arrow,1,0,0,18,18,"[[18,25005]]"
328,0x148,PROFILE_CANDIDATE,unavailableDays,Period Unavailable (days),1,25005,0,0,0,"[[0,25005]]"
329,0x149,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
330,0x14A,PROFILE_CANDIDATE,transferFlags,Is Loan Listed;Is Transfer Listed,17,15220,0,0,240,"[[0,15220],[16,3091],[32,1445],[80,1335],[144,1263]]"
331,0x14B,UNLABELLED,,,16,18229,0,0,15,"[[0,18229],[10,1399],[2,847],[1,833],[3,791]]"
332,0x14C,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
333,0x14D,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
334,0x14E,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
335,0x14F,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
336,0x150,PROFILE_CANDIDATE,teamRole,Team Role,1,25005,0,0,0,"[[0,25005]]"
337,0x151,PROFILE_CANDIDATE,personalityAxes,Team Player - Lone Wolf,1,25005,0,0,0,"[[0,25005]]"
338,0x152,PROFILE_CANDIDATE,personalityAxes,Passion - Composure,1,25005,0,0,0,"[[0,25005]]"
339,0x153,PROFILE_CANDIDATE,personalityAxes,Technique - Strength,1,25005,0,0,0,"[[0,25005]]"
340,0x154,PROFILE_CANDIDATE,personalityAxes,Insight - Instinct,1,25005,0,0,0,"[[0,25005]]"
341,0x155,PROFILE_CANDIDATE,impact,Impact,1,25005,0,0,0,"[[0,25005]]"
342,0x156,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
343,0x157,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
344,0x158,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
345,0x159,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
346,0x15A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
347,0x15B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
348,0x15C,PROFILE_CANDIDATE,annualSalary,Salary (Euro),1,25005,0,0,0,"[[0,25005]]"
349,0x15D,PROFILE_CANDIDATE,annualSalary,Salary (Euro),1,25005,0,0,0,"[[0,25005]]"
350,0x15E,PROFILE_CANDIDATE,annualSalary,Salary (Euro),1,25005,0,0,0,"[[0,25005]]"
351,0x15F,PROFILE_CANDIDATE,annualSalary,Salary (Euro),1,25005,0,0,0,"[[0,25005]]"
352,0x160,UNLABELLED,,,2,133,24872,0,255,"[[255,24872],[0,133]]"
353,0x161,UNLABELLED,,,5,27,24872,0,255,"[[255,24872],[192,43],[64,35],[128,28],[0,27]]"
354,0x162,UNLABELLED,,,45,0,24872,3,255,"[[255,24872],[57,22],[56,12],[226,12],[55,11]]"
355,0x163,UNLABELLED,,,8,22,24872,0,255,"[[255,24872],[1,64],[2,30],[0,22],[5,8]]"
356,0x164,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
357,0x165,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
358,0x166,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
359,0x167,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
360,0x168,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
361,0x169,UNLABELLED,,,1,0,25005,255,255,"[[255,25005]]"
362,0x16A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
363,0x16B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
364,0x16C,UNLABELLED,,,4,0,24753,234,255,"[[255,24753],[234,243],[235,8],[238,1]]"
365,0x16D,UNLABELLED,,,2,0,24753,7,255,"[[255,24753],[7,252]]"
366,0x16E,UNLABELLED,,,9,24753,0,0,12,"[[0,24753],[12,162],[11,50],[6,24],[10,8]]"
367,0x16F,UNLABELLED,,,9,24753,0,0,31,"[[0,24753],[31,166],[30,78],[15,3],[22,1]]"
368,0x170,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
369,0x171,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
370,0x172,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
371,0x173,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
372,0x174,PROFILE_CANDIDATE,marketValue,Market Value (Euro),56,23310,0,0,250,"[[0,23310],[232,172],[160,106],[64,105],[184,103]]"
373,0x175,PROFILE_CANDIDATE,marketValue,Market Value (Euro),72,23313,0,0,247,"[[0,23313],[3,195],[5,102],[7,98],[11,93]]"
374,0x176,PROFILE_CANDIDATE,marketValue,Market Value (Euro),14,24872,0,0,18,"[[0,24872],[1,74],[2,16],[3,15],[5,6]]"
375,0x177,PROFILE_CANDIDATE,marketValue,Market Value (Euro),1,25005,0,0,0,"[[0,25005]]"
376,0x178,LABELLED_UNKNOWN,unknown_178,?,1,25005,0,0,0,"[[0,25005]]"
377,0x179,LABELLED_UNKNOWN,unknown_179,?,1,25005,0,0,0,"[[0,25005]]"
378,0x17A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
379,0x17B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
